expo,table,project,sponsors,link,route
1,66,Klack,Best Use of Data Visualization,http://pennapps-xiv.devpost.com/submissions/56670-klack,
1,67,tongueSpeak,Best Public Safety or Video Processing App,http://pennapps-xiv.devpost.com/submissions/56671-tonguespeak,education
1,68,Parking Pal,"Best Use of Data Visualization, Best Public Safety or Video Processing App, Best Use of MongoDB",http://pennapps-xiv.devpost.com/submissions/56672-parking-pal,social + civic hacking
1,69,BeThere,"Most Entrepreneurial Hack, Best Use of the Capital One API - Nessie, Best Use of MongoDB, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56673-bethere,social + civic hacking
1,70,Mongo Bongo,"Best Use of Data Visualization, Most Entrepreneurial Hack, Lutron IoT Prize, Best Domain Name Registered in PennApps XIV, Best Use of MongoDB",http://pennapps-xiv.devpost.com/submissions/56675-mongo-bongo,hardware
1,71,Encrypted Messenger,"Best Domain Name Registered in PennApps XIV, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56677-encrypted-messenger,cybersecurity
1,72,Lyft$aver,"Most Entrepreneurial Hack, Best User Experience, Best Progressive Web App, Best Use of Lyft API",http://pennapps-xiv.devpost.com/submissions/56678-lyft-aver,social + civic hacking
1,73,Black Crystal,"Best Financial Hack Using the Aladdin API, Best Use of Data Visualization, Best Use of Rapid Prototyping, sposnored by AddLab, Lutron IoT Prize, Best Use of Linode Services",http://pennapps-xiv.devpost.com/submissions/56679-black-crystal,hardware
1,74,PiBench,Lutron IoT Prize,http://pennapps-xiv.devpost.com/submissions/56681-pibench,hardware
1,75,Park and Share,Most Entrepreneurial Hack,http://pennapps-xiv.devpost.com/submissions/56684-park-and-share,social + civic hacking
1,76,recon_rocks,Best Domain Name Registered in PennApps XIV,http://pennapps-xiv.devpost.com/submissions/56685-recon_rocks,cybersecurity
1,77,Take Me Out,"Best User Experience, Best Use of Lyft API",http://pennapps-xiv.devpost.com/submissions/56686-take-me-out,social + civic hacking
1,78,Immersive Music Experience,Best Use of VR/AR for Content Discovery,http://pennapps-xiv.devpost.com/submissions/56689-immersive-music-experience,vr/ar
1,79,Barrage Game for Live Streaming Video Platform,Most Entrepreneurial Hack,http://pennapps-xiv.devpost.com/submissions/56690-barrage-game-for-live-streaming-video-platform,social + civic hacking
1,80,BrunchOut,Best Use of MongoDB,http://pennapps-xiv.devpost.com/submissions/56691-brunchout,
1,81,TweetVoteML,"Best Use of Data Visualization, Most Entrepreneurial Hack, Best Domain Name Registered in PennApps XIV, Best Use of MongoDB, Best User Experience, Best Progressive Web App",http://pennapps-xiv.devpost.com/submissions/56694-tweetvoteml,social + civic hacking
1,82,Dear Me - your first text message based diary.,"Best Use of Data Visualization, Best Use of Nexmo API, Best User Experience, Best Progressive Web App",http://pennapps-xiv.devpost.com/submissions/56695-dear-me-your-first-text-message-based-diary,health
2,1,Today In History,"Best Amazon Alexa Hack, Best Use of Data Visualization, Best Domain Name Registered in PennApps XIV, Best User Experience, Best Progressive Web App, Best Use of Lyft API",http://pennapps-xiv.devpost.com/submissions/56696-today-in-history,education
2,2,SmartBiddr,Best Use of MongoDB,http://pennapps-xiv.devpost.com/submissions/56697-smartbiddr,social + civic hacking
2,3,Runway,"Lutron IoT Prize, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56701-runway,hardware
2,4,Theia,"Best Use of Rapid Prototyping, sposnored by AddLab, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56703-theia,health
